date,open,high,low,close,gdelt_sentiment
2014-04-18,1.3813,1.3821,1.3808,1.3808,-0.5254109106957913
2014-04-21,1.3816,1.383,1.3787,1.3793,-0.2711074002087116
2014-04-22,1.3794,1.3824,1.3783,1.3805,-0.013905727614959082
2014-04-23,1.3805,1.3853,1.3799,1.3816,-0.021355235017836094
2014-04-24,1.3816,1.3839,1.3792,1.3831,-0.26635320981343585
2014-04-25,1.3831,1.3847,1.3827,1.3831,-0.10979506708681583
2014-04-28,1.3839,1.3878,1.3815,1.3849,-0.5004122257232666
2014-04-29,1.3849,1.3877,1.3806,1.3812,-0.03367658704519272
2014-04-30,1.3812,1.3875,1.3788,1.3863,-0.011861739680171013
2014-05-01,1.3864,1.3889,1.3862,1.3867,-0.3865684181451797
2014-05-02,1.3867,1.388,1.3812,1.3869,0.062313380961616836
2014-05-05,1.3873,1.3885,1.3863,1.3874,-0.11928563006222248
2014-05-06,1.3875,1.395,1.3871,1.3924,-0.5278812944889069
2014-05-07,1.3926,1.3938,1.3908,1.391,-0.4520114570856094
2014-05-08,1.3911,1.399,1.3833,1.3839,-0.2919338761518399
2014-05-09,1.3839,1.3843,1.3745,1.3751,-0.024674095834294956
2014-05-12,1.3756,1.3774,1.3749,1.3758,-0.5830865162424743
2014-05-13,1.3758,1.3771,1.3688,1.3704,-0.5412021884694695
2014-05-14,1.3703,1.3729,1.3697,1.3713,-0.20010961778461933
2014-05-15,1.3714,1.3731,1.365,1.371,-0.18616218119859695
2014-05-16,1.3709,1.3726,1.3685,1.3692,-0.046667528338730335
2014-05-19,1.3697,1.3734,1.3693,1.3707,-0.16431854292750359
2014-05-20,1.3709,1.3713,1.368,1.3698,-0.15855822898447514
2014-05-21,1.3698,1.3722,1.3646,1.3684,0.02150962222367525
2014-05-22,1.3685,1.3687,1.3645,1.3656,-0.3598904212315877
2014-05-23,1.3656,1.3656,1.3616,1.3627,-0.06373999686911702
2014-05-26,1.3624,1.3653,1.3615,1.3643,-0.2201082408428192
2014-05-27,1.3644,1.3668,1.3613,1.3633,0.018587468191981316
